score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  rotate   0.050    0.0336    42.346  4.068e-19
  rotate   0.050    0.0336    25.859  5.885e-12
  rotate   0.050    0.0336    28.264  5.310e-13
  rotate   0.050    0.0337    21.737  3.630e-10
  rotate   0.050    0.0337    33.839  2.013e-15
  rotate   0.050    0.0338    35.856  2.678e-16
  rotate   0.050    0.0339    24.393  2.549e-11
  rotate   0.050    0.0339    29.141  2.209e-13
  rotate   0.050    0.0339    28.314  5.051e-13
  rotate   0.050    0.0340    24.418  2.486e-11
  rotate   0.050    0.0340    22.952  1.077e-10
  rotate   0.080    0.0491    98.724  1.333e-43
  rotate   0.080    0.0491   137.073  2.951e-60
  rotate   0.080    0.0497    75.120  2.375e-33
  rotate   0.080    0.0501   202.321  1.359e-88
  rotate   0.080    0.0502    80.683  9.119e-36
  rotate   0.080    0.0503    73.780  9.077e-33
  rotate   0.080    0.0505   321.440 2.513e-140
  rotate   0.080    0.0507   183.240  2.630e-80
  rotate   0.080    0.0512   186.046  1.589e-81
  rotate   0.080    0.0516   138.326  8.431e-61
  rotate   0.080    0.0516    73.078  1.831e-32
  rotate   0.080    0.0518   257.383 1.660e-112
  rotate   0.080    0.0520    62.692  5.932e-28
  rotate   0.080    0.0524   174.382  1.848e-76
  rotate   0.080    0.0527   142.460  1.350e-62
  rotate   0.080    0.0528    70.347  2.810e-31
  rotate   0.080    0.0529   189.943  3.228e-83
  rotate   0.080    0.0531    90.430  5.331e-40
  rotate   0.080    0.0531   158.835  1.045e-69
  rotate   0.080    0.0532    63.719  2.124e-28
  rotate   0.080    0.0532    82.261  1.881e-36
  rotate   0.080    0.0533   178.003  4.946e-78
  rotate   0.080    0.0535   232.614 9.482e-102
  rotate   0.080    0.0536    79.643  2.580e-35
  rotate   0.080    0.0536   202.496  1.140e-88
  rotate   0.080    0.0537    76.749  4.660e-34
  rotate   0.080    0.0537    72.427  3.512e-32
  rotate   0.080    0.0537   118.744  2.693e-52
  rotate   0.080    0.0537   211.141  2.008e-92
  rotate   0.080    0.0537   125.046  4.936e-55
  rotate   0.080    0.0538    74.594  4.020e-33
  rotate   0.080    0.0538    65.148  5.091e-29
  rotate   0.080    0.0538    83.326  6.485e-37
  rotate   0.080    0.0539    54.148  3.048e-24
  rotate   0.080    0.0540    94.226  1.197e-41
  rotate   0.080    0.0540    89.941  8.691e-40
  rotate   0.080    0.0540    76.310  7.225e-34
  rotate   0.080    0.0541    89.490  1.364e-39
  rotate   0.080    0.0542    47.194  3.190e-21
  rotate   0.080    0.0543    62.504  7.159e-28
  rotate   0.120    0.0740   285.171 1.419e-124
  rotate   0.120    0.0745   486.953 3.305e-212
